Free Agents  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Luis Torrens C | NYM,330,34,81,53,18,1,9,41,28,76,1,0,.245,.308,.388,366
W ,"Kyle Farmer 1B,2B,3B,SS | ATL ",332,36,79,48,23,0,8,42,25,71,2,1,.238,.303,.380,368
W ,"Christian Koss 2B,3B,SS | SF",194,28,55,37,11,1,6,29,14,46,5,2,.283,.333,.443,371
W ,Ty France 1B | SD ,259,31,74,52,17,0,5,34,15,47,1,0,.286,.342,.409,372
W ,Pedro Leon RF | PHI,193,28,49,32,9,1,7,26,18,53,7,2,.254,.322,.420,375
W ,Rece Hinds RF | CIN,187,28,46,26,9,2,9,27,17,58,5,1,.246,.314,.460,377
W ,Reese McGuire C | MIL ,261,29,59,41,8,0,10,40,18,66,2,0,.226,.277,.372,379
W ,"Bryce Johnson LF,CF,RF | SD",190,26,51,34,10,1,6,26,15,46,6,1,.268,.330,.426,382
W ,Billy Cook CF | PIT ,191,26,49,31,9,1,8,26,17,53,5,1,.257,.322,.440,383
W ,Ben Rortvedt C | NYM,317,37,70,46,16,0,8,42,33,83,1,0,.221,.302,.347,384
W ,Tyler Callihan LF | PIT ,188,26,47,29,9,1,8,27,18,53,5,1,.250,.321,.436,385
W ,Steward Berroa CF | MIL ,190,28,46,30,9,1,6,25,19,52,8,2,.242,.316,.395,386
W ,Leandro Cedeno 1B | ARI ,188,26,52,33,11,1,7,29,18,41,2,0,.277,.348,.457,387
W ,Drew Gilbert RF | SF ,189,26,48,28,11,2,7,26,17,46,5,2,.254,.322,.444,390
W ,Mason McCoy SS | SD,193,28,50,33,11,1,5,23,14,50,7,1,.259,.314,.404,391
W ,"Blake Dunn LF,RF | CIN ",186,27,45,27,9,1,8,25,19,58,5,1,.242,.321,.430,392
W ,Aaron Schunk 2B | ATL ,199,27,55,37,11,1,6,22,15,42,4,1,.276,.332,.432,393
W ,Esmerlyn Valdez RF | PIT,188,25,48,30,10,1,7,24,19,51,5,1,.255,.329,.431,396
W ,Maximo Acosta 3B | MIA,193,25,50,32,9,1,8,25,17,49,3,1,.259,.324,.440,397
W ,"Garrett Hampson 2B,LF,CF | CIN ",249,31,55,37,11,1,6,24,25,82,9,4,.221,.295,.345,398
W ,Bryan Torres CF | STL ,188,25,48,31,9,1,7,23,17,51,5,1,.255,.322,.425,400
W ,Tyler Austin RF | CHC ,157,23,40,24,8,1,7,22,15,41,5,1,.255,.326,.452,403
W ,Abimelec Ortiz 1B | WAS,190,24,50,31,11,1,7,27,17,46,1,0,.263,.332,.442,404
W ,"Enrique Hernandez 1B,2B,3B,LF | LAD ",173,26,43,27,8,1,7,26,14,47,2,0,.249,.302,.428,405
W ,Jose Fermin 2B | STL ,191,23,50,33,11,1,5,24,17,42,5,1,.262,.327,.408,407
W ,Tristin English 1B | ATL ,193,23,49,30,11,1,7,27,19,47,2,0,.254,.326,.430,408
W ,Rafael Flores 1B | PIT,186,23,48,30,10,1,7,25,21,48,2,0,.258,.338,.435,410
W ,Jesus Rodriguez C | SF,187,24,47,30,9,1,7,27,17,49,1,0,.251,.322,.422,415
W ,Daniel Susac C | SF,187,24,47,30,9,1,7,27,17,49,1,0,.251,.322,.422,415
W ,Cesar Prieto 2B | STL ,191,23,49,34,9,1,5,20,15,45,5,1,.257,.316,.393,420
W ,Garrett Stubbs DH | PHI,157,22,40,26,7,1,6,21,17,45,3,1,.255,.333,.427,422
